ID,String,Draw,Pick,Creator,V1,V2,Watermark,White
1,Coat hanger abortions.,,,NULL,TRUE,TRUE,NULL,TRUE
1,Why can't I sleep at night?,0,1,NULL,TRUE,TRUE,NULL,FALSE
2,Cock.,,,NULL,FALSE,FALSE,X3,TRUE
2,I got 99 problems but ____ ain't one.,0,1,NULL,TRUE,TRUE,NULL,FALSE
2,Man meat.,,,NULL,TRUE,TRUE,NULL,TRUE
3,Autocannibalism.,,,NULL,TRUE,TRUE,NULL,TRUE
3,"I have an idea even better than Kickstarter, and it's called ____starter.",0,1,NULL,FALSE,FALSE,X3,FALSE
3,What's a girl's best friend?,0,1,NULL,TRUE,TRUE,NULL,FALSE
4,Vigorous jazz hands.,,,NULL,TRUE,TRUE,NULL,TRUE
4,What's that smell?,0,1,NULL,TRUE,TRUE,NULL,FALSE
5,____? There's an app for that.,0,1,NULL,TRUE,TRUE,NULL,FALSE
5,Flightless birds.,,,NULL,TRUE,TRUE,NULL,TRUE
6,Pictures of boobs.,,,NULL,TRUE,TRUE,NULL,TRUE
6,This is the way the world ends / This is the way the world ends / This is the way the world ends / Not with a bang but with ____.,0,1,NULL,TRUE,TRUE,NULL,FALSE
7,Doing the right thing.,,,NULL,TRUE,TRUE,NULL,TRUE
7,What is Batman's guilty pleasure?,0,1,NULL,TRUE,TRUE,NULL,FALSE
8,Hunting accidents.,,,NULL,TRUE,FALSE,1.1,TRUE
8,TSA guidelines now prohibit ____ on airplanes.,0,1,NULL,TRUE,TRUE,NULL,FALSE
8,What left this stain on my couch?,0,1,NULL,FALSE,FALSE,X3,FALSE
9,"A cartoon camel enjoying the smooth, refreshing taste of a cigarette.",,,NULL,TRUE,FALSE,1.1,TRUE
9,Turns out that ____-Man was neither the hero we needed nor wanted.,0,1,NULL,FALSE,FALSE,X3,FALSE
9,What ended my last relationship?,0,1,NULL,TRUE,TRUE,NULL,FALSE
10,MTV's new reality show features eight washed-up celebrities living with ____.,0,1,NULL,TRUE,TRUE,NULL,FALSE
10,The violation of our most basic human rights.,,,NULL,TRUE,TRUE,NULL,TRUE
11,I drink to forget ____.,0,1,NULL,TRUE,TRUE,NULL,FALSE
11,Mufasa's death scene.,,,NULL,FALSE,FALSE,X3,TRUE
11,Viagra.,,,NULL,TRUE,TRUE,NULL,TRUE
12,"I'm sorry, Professor, but I couldn't complete my homework because of ____.",0,1,NULL,TRUE,TRUE,NULL,FALSE
12,Self-loathing.,,,NULL,TRUE,TRUE,NULL,TRUE
13,"During Picasso's often-overlooked Brown Period, he produced hundreds of paintings of ____.",0,1,NULL,TRUE,TRUE,NULL,FALSE
13,I'm not like the rest of you. I'm too rich and busy for ____.,0,1,NULL,FALSE,FALSE,X3,FALSE
13,Spectacular abs.,,,NULL,TRUE,TRUE,NULL,TRUE
14,Alternative medicine is now embracing the curative powers of ____.,0,1,NULL,TRUE,TRUE,NULL,FALSE
14,An honest cop with nothing left to lose.,,,NULL,TRUE,TRUE,NULL,TRUE
15,Abstinence.,,,NULL,TRUE,FALSE,1.1,TRUE
15,What's that sound?,0,1,NULL,TRUE,TRUE,NULL,FALSE
16,A balanced breakfast.,,,NULL,TRUE,TRUE,NULL,TRUE
16,Achieving 500 actions per minute.,,,NULL,FALSE,FALSE,X3,TRUE
16,Who stole the cookies from the cookie jar?,0,1,NULL,TRUE,FALSE,1.1,FALSE
17,Action Stations! Action Stations! Set condition one throughout the fleet and brace for ____!,0,1,NULL,FALSE,FALSE,X3,FALSE
17,Mountain Dew Code Red.,,,NULL,TRUE,FALSE,1.1,TRUE
17,What's the next Happy Meal toy?,0,1,NULL,TRUE,TRUE,NULL,FALSE
18,Anthropologists have recently discovered a primitive tribe that worships ____.,0,1,NULL,TRUE,TRUE,NULL,FALSE
18,Concealing a boner.,,,NULL,TRUE,TRUE,NULL,TRUE
19,It's a pity that kids these days are all getting involved with ____.,0,1,NULL,TRUE,TRUE,NULL,FALSE
19,Roofies.,,,NULL,TRUE,TRUE,NULL,TRUE
20,____. That's how I want to die.,0,1,NULL,TRUE,TRUE,NULL,FALSE
20,Glenn Beck convulsively vomiting as a brood of crab spiders hatches in his brain and erupts from his tear ducts.,,,NULL,TRUE,TRUE,NULL,TRUE
21,Rotating shapes in mid-air so that they fit into other shapes when they fall.,,,NULL,FALSE,FALSE,X3,TRUE
21,____: Hours of fun. Easy to use. Perfect for ____!,0,2,NULL,FALSE,FALSE,X3,FALSE
21,"In the new Disney Channel Original Movie, Hannah Montana struggles with ____ for the first time.",0,1,NULL,TRUE,TRUE,NULL,FALSE
22,"____. Awesome in theory, kind of a mess in practice.",0,1,NULL,FALSE,FALSE,X3,FALSE
22,"In the seventh circle of Hell, sinners must endure ____ for all eternity.",0,1,NULL,FALSE,FALSE,X3,FALSE
22,The Big Bang.,,,NULL,TRUE,TRUE,NULL,TRUE
22,What does Dick Cheney prefer?,0,1,NULL,TRUE,TRUE,NULL,FALSE
23,Amputees.,,,NULL,TRUE,TRUE,NULL,TRUE
23,I wish I hadn't lost the instruction manual for ____.,0,1,NULL,TRUE,FALSE,1.1,FALSE
23,The blind date was going horribly until we discovered our shared interest in ____.,0,1,NULL,FALSE,FALSE,X3,FALSE
24,"Instead of coal, Santa now gives the bad children ____.",0,1,NULL,TRUE,TRUE,NULL,FALSE
24,"The Rev. Dr. Martin Luther King, Jr.",,,NULL,TRUE,TRUE,NULL,TRUE
25,Former President George W. Bush.,,,NULL,TRUE,TRUE,NULL,TRUE
25,The rocket launcher.,,,NULL,FALSE,FALSE,X3,TRUE
25,What's the most emo?,0,1,NULL,TRUE,TRUE,NULL,FALSE
26,Being marginalized.,,,NULL,TRUE,TRUE,NULL,TRUE
26,"In 1,000 years, when paper money is but a distant memory, ____ will be our currency.",0,1,NULL,TRUE,TRUE,NULL,FALSE
27,Smegma.,,,NULL,TRUE,TRUE,NULL,TRUE
27,What's the next superhero?,0,1,NULL,TRUE,FALSE,1.1,FALSE
28,"A romantic, candlelit dinner would be incomplete without ____.",0,1,NULL,TRUE,TRUE,NULL,FALSE
28,Laying an egg.,,,NULL,TRUE,TRUE,NULL,TRUE
29,Cuddling.,,,NULL,TRUE,TRUE,NULL,TRUE
29,Next from J.K. Rowling: Harry Potter and the Chamber of ____.,0,1,NULL,TRUE,TRUE,NULL,FALSE
30,____. Betcha can't have just one!,0,1,NULL,TRUE,TRUE,NULL,FALSE
30,Aaron Burr.,,,NULL,TRUE,TRUE,NULL,TRUE
31,The Pope.,,,NULL,TRUE,TRUE,NULL,TRUE
31,White people like ____.,0,1,NULL,TRUE,TRUE,NULL,FALSE
32,"____. High five, bro.",0,1,NULL,TRUE,TRUE,NULL,FALSE
32,A bleached asshole.,,,NULL,TRUE,TRUE,NULL,TRUE
32,"The primal, ball-slapping sex your parents are having right now.",,,NULL,FALSE,FALSE,X3,TRUE
33,"During sex, I like to think about ____.",0,1,NULL,TRUE,TRUE,NULL,FALSE
33,Horse meat.,,,NULL,TRUE,TRUE,NULL,TRUE
34,Genital piercings.,,,NULL,TRUE,TRUE,NULL,TRUE
34,War! What is it good for?,0,1,NULL,TRUE,TRUE,NULL,FALSE
35,BILLY MAYS HERE FOR ____.,0,1,NULL,TRUE,TRUE,NULL,FALSE
35,Fingering.,,,NULL,TRUE,TRUE,NULL,TRUE
36,Elderly Japanese men.,,,NULL,TRUE,TRUE,NULL,TRUE
36,What will always get you laid?,0,1,NULL,TRUE,TRUE,NULL,FALSE
37,Stranger danger.,,,NULL,TRUE,TRUE,NULL,TRUE
37,"When I'm in prison, I'll have ____ smuggled in.",0,1,NULL,TRUE,FALSE,1.1,FALSE
38,Fear itself.,,,NULL,TRUE,TRUE,NULL,TRUE
38,What did I bring back from Mexico?,0,1,NULL,TRUE,TRUE,NULL,FALSE
39,Science.,,,NULL,TRUE,TRUE,NULL,TRUE
39,What are my parents hiding from me?,0,1,NULL,TRUE,TRUE,NULL,FALSE
40,Praying the gay away.,,,NULL,TRUE,TRUE,NULL,TRUE
40,What helps Obama unwind?,0,1,NULL,TRUE,TRUE,NULL,FALSE
41,Press (down)(down)(back)(forward)(B) to unleash ____.,0,1,NULL,FALSE,FALSE,X3,FALSE
